example_id                                                    | status | run_time        |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:3:1:5]   | passed | 0.0064 seconds  |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:3:2:1]   | passed | 0.00486 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:3:2:2]   | passed | 0.00938 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:3:2:3]   | passed | 0.01315 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:3:2:4]   | passed | 0.00532 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:4:1:1]   | passed | 0.00618 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:4:1:2]   | passed | 0.00744 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:4:1:3]   | passed | 0.01288 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:4:1:4]   | passed | 0.00778 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:4:1:5]   | passed | 0.00984 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:4:2:1]   | passed | 0.00687 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:4:2:2]   | passed | 0.00693 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:4:2:3]   | passed | 0.0101 seconds  |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:4:2:4]   | passed | 0.00541 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:4:3:1]   | passed | 0.00909 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:4:3:2]   | passed | 0.00896 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:4:3:3]   | passed | 0.00489 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:5:1:1]   | passed | 0.01054 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:5:1:2]   | passed | 0.00842 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:5:1:3]   | passed | 0.00709 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:5:1:4]   | passed | 0.00812 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:5:2:1]   | passed | 0.00588 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:5:2:2]   | passed | 0.00553 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:5:2:3]   | passed | 0.00571 seconds |
./spec/requests/api/v1/catalog/bead_colors_spec.rb[1:5:3:1]   | passed | 0.02792 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:1:1:1] | passed | 0.00454 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:1:1:2] | passed | 0.004 seconds   |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:1:1:3] | passed | 0.00501 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:1:2:1] | passed | 0.0161 seconds  |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:1:2:2] | passed | 0.00864 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:1:2:3] | passed | 0.00933 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:2:1:1] | passed | 0.02961 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:2:1:2] | passed | 0.03053 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:2:1:3] | passed | 0.02565 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:2:1:4] | passed | 0.02407 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:2:2:1] | passed | 0.00815 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:2:2:2] | passed | 0.00676 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:2:2:3] | passed | 0.00473 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:3:1:1] | passed | 0.0046 seconds  |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:3:1:2] | passed | 0.01081 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:3:1:3] | passed | 0.0047 seconds  |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:3:1:4] | passed | 0.00927 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:3:1:5] | passed | 0.00625 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:3:2:1] | passed | 0.00366 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:3:2:2] | passed | 0.00711 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:3:2:3] | passed | 0.01108 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:3:2:4] | passed | 0.00471 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:4:1:1] | passed | 0.00652 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:4:1:2] | passed | 0.01011 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:4:1:3] | passed | 0.00799 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:4:1:4] | passed | 0.00756 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:4:1:5] | passed | 0.0129 seconds  |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:4:2:1] | passed | 0.01049 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:4:2:2] | passed | 0.00807 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:4:2:3] | passed | 0.00596 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:4:2:4] | passed | 0.01031 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:4:3:1] | passed | 0.00454 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:4:3:2] | passed | 0.00693 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:4:3:3] | passed | 0.00391 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:5:1:1] | passed | 0.0062 seconds  |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:5:1:2] | passed | 0.0089 seconds  |
